TransactionID,OrderID,Order Date,Quantity,ProductID,RepID,ChannelID,PaymentID,SegmentID,CustomerID
TRX102111,ORD639730,17/02/2022,4,P3193,R1002,C-1001,PM-1126,SID-1003,C25771
TRX100432,ORD513750,18/02/2022,5,P9484,R1003,C-1002,PM-1127,SID-1001,C29804
TRX103498,ORD659544,18/02/2022,3,P2653,R1004,C-1003,PM-1123,SID-1002,C27055
TRX104736,ORD645654,18/02/2022,5,P0126,R1005,C-1004,PM-1124,SID-1003,C24940
TRX100414,ORD673352,20/02/2022,3,P6794,R1006,C-1001,PM-1125,SID-1004,C25496
TRX100522,ORD687527,20/02/2022,3,P5552,R1006,C-1002,PM-1126,SID-1001,C23451
TRX102977,ORD627033,20/02/2022,4,P7834,R1001,C-1001,PM-1127,SID-1002,C24717
TRX104706,ORD645521,20/02/2022,3,P1628,R1002,C-1001,PM-1122,SID-1003,C26486
TRX100001,ORD610945,21/02/2022,2,P5107,R1003,C-1002,PM-1123,SID-1004,C25385
TRX101218,ORD648808,21/02/2022,2,P0481,R1004,C-1003,PM-1124,SID-1001,C21463
TRX104583,ORD648034,21/02/2022,5,P1840,R1005,C-1004,PM-1125,SID-1002,C21070
TRX100682,ORD633743,22/02/2022,3,P6454,R1006,C-1001,PM-1126,SID-1003,C23717
TRX100920,ORD688055,22/02/2022,3,P4101,R1007,C-1002,PM-1127,SID-1004,C28520
TRX101297,ORD504344,22/02/2022,5,P2359,R1008,C-1003,PM-1122,SID-1001,C29647
TRX103867,ORD699268,22/02/2022,8,P7251,R1009,C-1004,PM-1123,SID-1001,C29326
TRX104125,ORD666142,22/02/2022,7,P4495,R1010,C-1001,PM-1122,SID-1002,C21728
TRX101419,ORD609345,23/02/2022,3,P0225,R1001,C-1002,PM-1123,SID-1001,C25134
TRX101936,ORD583145,23/02/2022,8,P1894,R1001,C-1003,PM-1124,SID-1002,C27003
TRX101976,ORD687501,23/02/2022,2,P4355,R1002,C-1004,PM-1125,SID-1003,C25108
TRX102832,ORD636819,23/02/2022,7,P4309,R1001,C-1002,PM-1126,SID-1004,C23858
TRX103670,ORD676308,23/02/2022,2,P2707,R1002,C-1002,PM-1127,SID-1001,C21167
TRX100018,ORD577115,24/02/2022,4,P7603,R1003,C-1003,PM-1124,SID-1002,C22105
TRX101738,ORD527105,24/02/2022,3,P8444,R1004,C-1002,PM-1125,SID-1003,C29374
TRX102203,ORD622751,24/02/2022,4,P1566,R1005,C-1003,PM-1126,SID-1001,C26051
TRX103321,ORD555475,24/02/2022,2,P3193,R1006,C-1004,PM-1127,SID-1002,C27111
TRX100628,ORD625602,25/02/2022,4,P9484,R1007,C-1002,PM-1122,SID-1001,C22929
TRX100632,ORD596018,25/02/2022,5,P2653,R1001,C-1002,PM-1123,SID-1002,C25323
TRX102916,ORD573210,25/02/2022,3,P0126,R1002,C-1002,PM-1124,SID-1003,C20235
TRX100444,ORD686724,26/02/2022,5,P6794,R1003,C-1002,PM-1125,SID-1001,C26058
TRX104062,ORD549857,26/02/2022,2,P5552,R1004,C-1002,PM-1126,SID-1002,C29368
TRX101749,ORD543623,27/02/2022,5,P7834,R1005,C-1002,PM-1127,SID-1003,C27018
TRX103700,ORD506407,27/02/2022,8,P1628,R1006,C-1003,PM-1122,SID-1004,C23046
TRX100736,ORD563157,28/02/2022,4,P5107,R1007,C-1002,PM-1123,SID-1001,C25769
TRX102044,ORD517206,28/02/2022,4,P0481,R1008,C-1003,PM-1124,SID-1002,C22805
TRX100619,ORD556510,01/03/2022,3,P1840,R1009,C-1004,PM-1125,SID-1003,C22338
TRX100983,ORD500914,01/03/2022,5,P6454,R1010,C-1002,PM-1126,SID-1004,C22802
TRX101094,ORD573964,01/03/2022,5,P4101,R1001,C-1003,PM-1127,SID-1001,C23066
TRX101422,ORD649600,01/03/2022,4,P2359,R1002,C-1004,PM-1122,SID-1002,C24252
TRX103022,ORD584922,01/03/2022,2,P7251,R1003,C-1002,PM-1123,SID-1003,C28825
TRX104028,ORD603939,01/03/2022,5,P4495,R1004,C-1003,PM-1124,SID-1004,C20173
TRX104392,ORD508697,01/03/2022,6,P0225,R1005,C-1004,PM-1122,SID-1001,C26647
TRX102787,ORD626227,02/03/2022,1,P1894,R1006,C-1001,PM-1123,SID-1001,C22369
TRX103416,ORD572318,02/03/2022,3,P4355,R1006,C-1002,PM-1124,SID-1002,C25366
TRX103625,ORD570952,02/03/2022,5,P4309,R1001,C-1003,PM-1125,SID-1001,C20716
TRX103674,ORD536999,02/03/2022,5,P2707,R1002,C-1004,PM-1126,SID-1002,C26120
TRX100012,ORD527083,03/03/2022,2,P7603,R1003,C-1001,PM-1127,SID-1003,C21797
TRX101436,ORD665781,04/03/2022,5,P8444,R1004,C-1002,PM-1125,SID-1004,C29628
TRX102053,ORD596046,04/03/2022,4,P1566,R1005,C-1001,PM-1126,SID-1001,C28230
TRX104046,ORD627582,04/03/2022,6,P3193,R1006,C-1001,PM-1127,SID-1002,C25426
TRX100659,ORD564442,05/03/2022,3,P9484,R1007,C-1002,PM-1122,SID-1003,C28755
TRX101327,ORD527998,05/03/2022,6,P2653,R1008,C-1003,PM-1123,SID-1001,C25337
TRX101907,ORD666016,05/03/2022,6,P0126,R1009,C-1004,PM-1124,SID-1002,C24753
TRX103111,ORD503824,05/03/2022,5,P6794,R1010,C-1001,PM-1125,SID-1001,C21100
TRX103585,ORD658912,05/03/2022,2,P5552,R1001,C-1002,PM-1126,SID-1002,C20369
TRX103831,ORD676512,05/03/2022,4,P7834,R1001,C-1003,PM-1127,SID-1003,C24766
TRX104778,ORD569878,05/03/2022,6,P1628,R1002,C-1004,PM-1122,SID-1001,C24281
TRX104886,ORD663960,05/03/2022,3,P5107,R1001,C-1001,PM-1123,SID-1002,C23748
TRX100210,ORD624164,06/03/2022,5,P0481,R1002,C-1002,PM-1124,SID-1003,C24441
TRX102220,ORD688478,06/03/2022,2,P1840,R1003,C-1003,PM-1125,SID-1004,C28138
TRX102468,ORD569602,06/03/2022,3,P6454,R1004,C-1004,PM-1126,SID-1001,C25582
TRX102725,ORD678985,06/03/2022,6,P4101,R1005,C-1002,PM-1127,SID-1002,C25805
TRX100011,ORD601628,07/03/2022,3,P2359,R1006,C-1002,PM-1122,SID-1003,C24320
TRX100088,ORD565095,07/03/2022,4,P7251,R1007,C-1003,PM-1123,SID-1004,C25681
TRX102506,ORD596664,07/03/2022,4,P4495,R1001,C-1002,PM-1124,SID-1001,C22241
TRX100878,ORD629389,08/03/2022,1,P0225,R1002,C-1003,PM-1122,SID-1002,C22182
TRX101919,ORD649475,08/03/2022,3,P1894,R1003,C-1004,PM-1123,SID-1003,C20036
TRX103114,ORD500719,08/03/2022,5,P4355,R1004,C-1002,PM-1124,SID-1004,C24831
TRX103140,ORD623108,08/03/2022,6,P4309,R1005,C-1002,PM-1125,SID-1001,C23614
TRX103766,ORD569797,08/03/2022,5,P2707,R1006,C-1002,PM-1126,SID-1001,C25723
TRX104598,ORD567008,08/03/2022,5,P7603,R1007,C-1002,PM-1127,SID-1002,C29894
TRX101253,ORD631833,09/03/2022,4,P8444,R1008,C-1002,PM-1125,SID-1001,C21524
TRX102754,ORD542826,09/03/2022,2,P1566,R1009,C-1002,PM-1126,SID-1002,C21478
TRX104034,ORD537728,09/03/2022,3,P3193,R1010,C-1003,PM-1127,SID-1003,C27606
TRX101173,ORD546644,10/03/2022,7,P9484,R1001,C-1002,PM-1122,SID-1004,C27713
TRX102515,ORD508231,10/03/2022,5,P2653,R1002,C-1003,PM-1123,SID-1001,C28602
TRX103813,ORD538807,10/03/2022,3,P0126,R1003,C-1004,PM-1124,SID-1002,C24726
TRX102668,ORD676681,11/03/2022,1,P6794,R1004,C-1002,PM-1125,SID-1003,C23799
TRX103636,ORD556902,12/03/2022,3,P5552,R1005,C-1003,PM-1126,SID-1001,C25544
TRX101911,ORD635254,13/03/2022,2,P7834,R1006,C-1004,PM-1127,SID-1002,C21040
TRX103919,ORD616901,13/03/2022,2,P1628,R1006,C-1002,PM-1122,SID-1001,C27167
TRX103452,ORD564422,14/03/2022,2,P5107,R1001,C-1003,PM-1123,SID-1002,C29949
TRX104132,ORD678854,14/03/2022,4,P0481,R1002,C-1004,PM-1124,SID-1003,C26243
TRX100390,ORD671335,15/03/2022,4,P1840,R1003,C-1001,PM-1125,SID-1001,C26380
TRX101079,ORD623963,15/03/2022,3,P6454,R1004,C-1002,PM-1126,SID-1002,C28722
TRX104456,ORD543417,15/03/2022,3,P4101,R1005,C-1003,PM-1127,SID-1003,C22895
TRX101854,ORD577108,16/03/2022,4,P2359,R1006,C-1004,PM-1122,SID-1004,C20458
TRX102328,ORD621524,16/03/2022,3,P7251,R1007,C-1001,PM-1123,SID-1001,C28082
TRX100953,ORD652296,17/03/2022,8,P4495,R1008,C-1002,PM-1122,SID-1002,C23298
TRX101051,ORD596572,17/03/2022,4,P0225,R1009,C-1001,PM-1123,SID-1003,C22654
TRX101841,ORD652751,17/03/2022,4,P1894,R1010,C-1001,PM-1124,SID-1004,C22333
TRX102942,ORD662805,17/03/2022,5,P4355,R1001,C-1002,PM-1125,SID-1001,C26191
TRX104892,ORD596229,17/03/2022,6,P4309,R1001,C-1003,PM-1126,SID-1002,C27222
TRX101232,ORD681593,18/03/2022,4,P2707,R1002,C-1004,PM-1127,SID-1003,C24669
TRX102324,ORD577006,18/03/2022,4,P7603,R1001,C-1001,PM-1124,SID-1004,C25286
TRX102333,ORD672859,18/03/2022,3,P8444,R1002,C-1002,PM-1125,SID-1001,C26342
TRX103979,ORD684453,18/03/2022,2,P1566,R1003,C-1003,PM-1126,SID-1001,C28870
TRX104271,ORD659887,18/03/2022,4,P3193,R1004,C-1004,PM-1127,SID-1002,C25026
TRX101586,ORD659035,19/03/2022,3,P9484,R1005,C-1001,PM-1122,SID-1001,C29913
TRX101679,ORD519670,19/03/2022,6,P2653,R1006,C-1002,PM-1123,SID-1002,C26773
TRX103712,ORD626934,19/03/2022,3,P0126,R1007,C-1003,PM-1124,SID-1003,C23205
TRX104221,ORD697633,19/03/2022,7,P6794,R1001,C-1004,PM-1125,SID-1004,C26822
TRX104739,ORD594571,19/03/2022,4,P5552,R1002,C-1002,PM-1126,SID-1001,C25828
TRX100450,ORD578853,20/03/2022,3,P7834,R1003,C-1002,PM-1127,SID-1002,C21250
TRX101755,ORD505594,20/03/2022,4,P1628,R1004,C-1003,PM-1122,SID-1003,C25473
TRX100423,ORD665188,21/03/2022,6,P5107,R1005,C-1002,PM-1123,SID-1001,C29065
TRX102169,ORD641382,21/03/2022,5,P0481,R1006,C-1003,PM-1124,SID-1002,C29529
TRX103987,ORD510951,21/03/2022,5,P1840,R1007,C-1004,PM-1125,SID-1001,C22069
TRX101170,ORD561714,22/03/2022,5,P6454,R1008,C-1002,PM-1126,SID-1002,C20479
TRX101615,ORD544780,22/03/2022,4,P4101,R1009,C-1002,PM-1127,SID-1003,C29342
TRX102593,ORD694436,22/03/2022,3,P2359,R1010,C-1002,PM-1122,SID-1001,C24739
TRX104321,ORD626853,22/03/2022,5,P7251,R1001,C-1002,PM-1123,SID-1002,C25231
TRX104348,ORD652524,22/03/2022,6,P4495,R1002,C-1002,PM-1124,SID-1003,C21205
TRX100307,ORD698160,23/03/2022,1,P0225,R1003,C-1002,PM-1125,SID-1004,C23600
TRX100400,ORD698968,23/03/2022,4,P1894,R1004,C-1003,PM-1126,SID-1001,C26159
TRX100915,ORD578637,23/03/2022,3,P4355,R1005,C-1002,PM-1127,SID-1002,C27062
TRX103359,ORD581295,23/03/2022,1,P4309,R1006,C-1003,PM-1122,SID-1003,C25146
TRX104652,ORD580715,23/03/2022,5,P2707,R1006,C-1004,PM-1123,SID-1004,C29424
TRX104698,ORD626660,23/03/2022,3,P7603,R1001,C-1002,PM-1124,SID-1001,C25142
TRX104942,ORD557734,23/03/2022,5,P8444,R1002,C-1003,PM-1125,SID-1002,C22332
TRX100658,ORD574296,24/03/2022,2,P1566,R1003,C-1004,PM-1126,SID-1003,C21194
TRX100928,ORD553118,24/03/2022,2,P3193,R1004,C-1002,PM-1127,SID-1004,C28609
TRX102167,ORD649088,24/03/2022,5,P9484,R1005,C-1003,PM-1122,SID-1001,C28416
TRX103572,ORD536015,24/03/2022,3,P2653,R1006,C-1004,PM-1123,SID-1001,C29720
TRX104926,ORD598214,24/03/2022,5,P0126,R1007,C-1001,PM-1124,SID-1002,C25863
TRX104639,ORD606309,25/03/2022,3,P6794,R1008,C-1002,PM-1125,SID-1001,C22985
TRX100697,ORD676803,26/03/2022,3,P5552,R1009,C-1003,PM-1126,SID-1002,C27773
TRX101599,ORD529800,26/03/2022,5,P7834,R1010,C-1004,PM-1127,SID-1003,C29562
TRX102043,ORD500509,26/03/2022,2,P1628,R1001,C-1001,PM-1122,SID-1004,C22735
